aðalsmannaætt;kvk
aðalsmannssál;kvk
aðalsmark;hk
aðalsmál;hk
aðalsmennska;kvk
aðalsmerki;hk
aðalsmær;kvk
aðalsmæti;hk
aðalsnafn;hk
aðalsnafnbót;kvk
aðalsorg;kvk
aðalsovétsvæði;hk
aðalsókn;kvk
aðalsóknarmaður;kk
aðalspámaður;kk
aðalspersóna;kvk
aðalspilamaður;kk
aðalspítali;kk
aðalspjald;hk
aðalspor;hk
aðalsport;hk
aðalsprauta;kvk
aðalsprunga;kvk
aðalspurning;kvk
aðalspurningamaður;kk
aðalspursmál;hk
aðalsráð;hk
aðalsríki;hk
aðalssetur;hk
aðalsskaparbréf;hk
aðalsskjal;hk
aðalsstétt;kvk
aðalsstjórn;kvk
aðalstaður;kk
aðalstarf;hk
aðalstarfsemi;kvk
aðalstarfsmaður;kk
aðalstarfsstöð;kvk
aðalstarfsvettvangur;kk
aðalstef;hk
aðalstefna;kvk
aðalstefnandi;kk
aðalstefnumál;hk
aðalsteinefni;hk
aðalstétt;kvk
aðalstig;hk
aðalstigagangur;kk
aðalstigi;kk
aðalstign;kvk
aðalstignarlampi;kk
aðalstitill;kk
aðalstífla;kvk
aðalstígakerfi;hk
aðalstígur;kk
aðalstjarna;kvk
aðalstjórn;kvk
aðalstjórnandi;kk
aðalstjórnarmaður;kk
aðalstjórnarnefnd;kvk
aðalstjórnarskipun;kvk
aðalstjórnarvald;hk
aðalstjórnmálamaður;kk
aðalstjórnstöð;kvk
aðalstjórnunarfulltrúi;kk
aðalstjörnuleikmaður;kk
aðalstoð;kvk
aðalstofa;kvk
aðalstofn;kk
aðalstofnandi;kk
aðalstofnun;kvk
aðalstraff;hk
aðalstraumur;kk
aðalstríðsmaður;kk
aðalstræti;hk
aðalstuðningsaðili;kk
aðalstuðningsmaður;kk
aðalstúka;kvk
aðal styrktaraðili;kk
aðalstyrktaraðili;kk
aðalstyrkur;kk
aðalstöð;kvk
aðalstöngull;kk
aðalsumarheimkynni;hk
aðalsumma;kvk
aðalsundfæri;hk
aðalsvald;hk
aðalsvefnherbergi;hk
aðalsvefnhús;hk
aðalsveitakeppni;kvk
aðalsveldi;hk
aðalsvið;hk
aðalsvæði;hk
aðalsyrgjandi;kk
aðalsýning;kvk
aðalsýningamaður;kk
aðalsýra;kvk
aðalsýslunefndarmaður;kk
aðalsþjóð;kvk
aðalsþótti;kk
aðalsæla;kvk
aðalsæluhús;hk
aðalsæng;kvk
aðalsæringamaður;kk
aðalsæti;hk
aðalsætt;kvk
aðalsögn;kvk
aðalsöguhetja;kvk
aðalsögumaður;kk
aðalsögupersóna;kvk
aðalsöguritari;kk
aðalsök;kvk
aðalsökudólgur;kk
aðalsölumaður;kk
aðalsöngefni;hk
aðalsöngkona;kvk
aðalsöngmaður;kk
aðalsöngvari;kk
aðaltakmark;hk
aðaltal;hk
aðaltala;kvk
aðaltalning;kvk
aðaltalningarmaður;kk
aðaltalsmaður;kk
aðaltamningamaður;kk
aðaltannhjól;hk
aðaltaug;kvk
aðaltegund;kvk
aðaltegundareinkenni;hk
aðalteiknikennari;kk
aðalteikning;kvk
aðaltekjulind;kvk
aðaltekjur;kvk
aðaltekjustofn;kk
aðaltengiliður;kk
aðaltenging;kvk
aðaltextamót;hk
aðaltexti;kk
aðaltignarsæti;hk
aðaltilboð;hk
aðaltildrög;hk
aðaltilefni;hk
aðaltilfelli;hk
aðaltilgangur;kk
aðaltillaga;kvk
aðaltilraunamaður;kk
aðaltilraunaökumaður;kk
aðaltimburforði;kk
aðaltími;kk
aðaltjald;hk
aðaltjáning;kvk
aðaltjón;hk
aðaltollhöfn;kvk
aðaltorg;hk
aðaltónleikar;kk
aðaltónlistarmaður;kk
aðaltónn;kk
aðaltótt;kvk
aðaltrappa;kvk
aðaltraust;hk
aðaltré;hk
aðaltromp;hk
aðaltrú;kvk
aðaltrúfræðirit;hk
aðaltrúnaðarmaður;kk
aðaltunga;kvk
aðaltungumál;hk
aðaltúlkandi;kk
aðaltvímenningur;kk
aðaltæknimaður;kk
aðaltöfraverkfæri;hk
aðaltökumaður;kk
aðaltölva;kvk
aðalumboð;hk
aðalumboðsfyrirtæki;hk
aðalumboðsmaður;kk
aðalumbótamaður;kk
aðalumferð;kvk
aðalumferðarkerfi;hk
aðalumferðaræð;kvk
aðalumfjöllunarefni;hk
aðalumhugsunarefni;hk
aðalumráð;hk
aðalumræða;kvk
aðalumræðuefni;hk
aðalumsjón;kvk
